TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
DESK3;11,08;0,18;21,77;1,06;0,44;60,28;32,60;7,56;5,05;7,50;2,45;0,52;1,65;-2.605,91;-0,52;1,00;4,88;2,02;11,16;0,42;0,58;0,27;;;956.564,97;10,43;0,51;0,20;1.276.894.356,84
DEXP3;10,03;2,68;6,86;1,53;0,68;18,95;13,35;7,03;3,62;3,72;0,13;0,05;0,48;1,64;-1,87;2,91;22,29;9,97;19,97;0,45;0,46;1,42;34,10;11,10;870.871,83;6,55;1,46;-0,20;936.672.267,00
DEXP4;9,40;2,91;6,43;1,43;0,64;18,95;13,35;7,03;3,39;3,72;0,13;0,05;0,45;1,54;-1,75;2,91;22,29;9,97;19,97;0,45;0,46;1,42;34,10;11,10;42.206,22;6,55;1,46;-0,19;936.672.267,00
DIRR3;19,50;6,00;12,18;2,17;0,45;35,19;18,89;10,67;6,88;7,68;0,80;0,25;1,30;1,39;-0,84;3,43;17,79;3,71;12,92;0,21;0,77;0,35;23,53;;36.595.824,55;9,00;1,60;0,24;2.925.000.000,00
DMMO11;0,34;;-49,97;-0,36;0,53;54,54;8,16;-1,10;6,75;32,11;-2,85;;0,55;1,78;-1,29;2,04;-0,73;-1,07;-5,39;-1,47;2,47;0,97;-1,34;;16.904,20;-0,93;-0,01;0,49;949.254.731,04
DMMO3;1,76;;-258,65;-1,88;2,76;54,54;8,16;-1,10;34,96;32,11;-2,85;;2,85;9,24;-6,66;2,04;-0,73;-1,07;-5,39;-1,47;2,47;0,97;-1,34;;4.084.154,80;-0,93;-0,01;2,52;949.254.731,04
DMVF3;4,64;;13,87;0,28;0,16;31,95;2,74;1,08;5,50;4,79;-0,71;-0,04;0,15;3,53;-0,22;1,19;2,00;1,15;4,69;0,58;0,42;1,06;319,38;;210.359,03;16,76;0,33;0,00;234.797.186,88
DOHL3;10,00;;4.640,82;1,06;0,77;19,64;-0,51;0,03;-226,01;-206,91;-7,22;0,03;1,16;1,67;-1,67;6,64;0,02;0,02;-0,93;0,72;0,28;0,66;6,68;-65,66;1.000,00;9,41;0,00;-46,52;668.354.595,60
DOHL4;5,84;;2.710,24;0,62;0,45;19,64;-0,51;0,03;-131,99;-206,91;-7,22;0,03;0,68;0,98;-0,98;6,64;0,02;0,02;-0,93;0,72;0,28;0,66;6,68;-65,66;37.177,67;9,41;0,00;-27,17;668.354.595,60
DOTZ3;1,02;;-1,43;-0,73;0,37;87,88;-76,62;-69,30;-1,30;-0,85;0,46;;0,99;-1,08;-0,85;0,62;-50,84;-26,17;138,56;-0,51;1,51;0,38;3,79;;87.523,97;-1,40;-0,71;-0,06;136.030.402,56
